id,question,answer,refs
general_01,¿Cuáles son los diez mandamientos?,"Son mandatos dados por Dios a Israel en Éxodo 20:1-17: 1) No tendrás otros dioses, 2) No te harás ídolos, 3) No tomarás el nombre de Dios en vano, 4) Acuérdate del sábado para santificarlo, 5) Honra a tu padre y a tu madre, 6) No matarás, 7) No cometerás adulterio, 8) No robarás, 9) No darás falso testimonio, 10) No codiciarás.",Éxodo 20:1-17
general_02,¿Dónde aparecen los diez mandamientos en la Biblia?,Aparecen en Éxodo 20:1-17. También se repiten con ligeras variaciones en Deuteronomio 5:6-21.,Éxodo 20:1-17; Deuteronomio 5:6-21
general_03,¿Cuál es el contexto de Éxodo 20?,Dios habla desde el monte Sinaí después de liberar a Israel de Egipto. Da los mandamientos como base del pacto.,Éxodo 19–20
cmd_01_a,¿Qué significa 'No tendrás otros dioses delante de mí'?,Prohíbe adorar o rendir culto a cualquier otra deidad; Dios exige exclusiva lealtad.,Éxodo 20:3
cmd_02_a,¿Qué prohíbe el segundo mandamiento sobre imágenes?,Prohíbe hacer y adorar ídolos o imágenes con fines de culto. Señala que la adoración es solo a Dios.,Éxodo 20:4-6
cmd_03_a,¿Qué significa 'No tomarás el nombre de Dios en vano'?,"Prohíbe usar el nombre de Dios con ligereza, falsedad o para juramentos vacíos. Demanda respeto al nombre divino.",Éxodo 20:7
cmd_04_a,¿Qué implica 'Acuérdate del sábado para santificarlo'?,"Dedicar el día séptimo al descanso y a Dios, cesando labores ordinarias como signo del pacto y de la creación.",Éxodo 20:8-11
cmd_05_a,¿Qué significa 'Honra a tu padre y a tu madre'?,"Llama a respetar, cuidar y obedecer a los padres. Es el primer mandamiento con promesa de bienestar y larga vida.",Éxodo 20:12
cmd_06_a,¿Qué significa 'No matarás'?,Prohíbe quitar la vida injustamente. Afirma el valor de la vida humana creada por Dios.,Éxodo 20:13
cmd_07_a,¿Qué significa 'No cometerás adulterio'?,Prohíbe la infidelidad matrimonial y protege la fidelidad del pacto conyugal.,Éxodo 20:14
cmd_08_a,¿Qué significa 'No robarás'?,"Prohíbe tomar lo ajeno; protege la propiedad, la justicia y la integridad en las transacciones.",Éxodo 20:15
cmd_09_a,¿Qué significa 'No darás falso testimonio'?,"Prohíbe mentir en perjuicio de otros, especialmente en juicios; protege la verdad y la justicia.",Éxodo 20:16
cmd_10_a,¿Qué significa 'No codiciarás'?,"Prohíbe anhelar de manera desordenada lo que pertenece al prójimo (cónyuge, casa, bienes). Va al nivel del deseo interno.",Éxodo 20:17
cmd_02_b,¿Se pueden tener imágenes religiosas?,El mandamiento prohíbe fabricar imágenes para adorarlas o rendirles culto. La clave es no convertirlas en objeto de veneración.,Éxodo 20:4-6
cmd_04_b,¿Por qué se ordena guardar el sábado?,Porque Dios creó en seis días y reposó el séptimo; el sábado recuerda la creación y el pacto. Israel debía santificarlo.,Éxodo 20:8-11
cmd_05_b,¿Qué promesa acompaña el quinto mandamiento?,Promesa de bienestar y larga vida en la tierra al honrar a los padres.,Éxodo 20:12
cmd_09_b,¿Qué abarca el falso testimonio?,"Incluye mentir, calumniar, deformar la verdad o jurar en falso, especialmente cuando afecta al prójimo.",Éxodo 20:16
cmd_10_b,¿Por qué es importante 'No codiciar'?,Porque dirige el corazón; la codicia puede llevar a quebrantar otros mandamientos. Invita al contentamiento y respeto al prójimo.,Éxodo 20:17
structure_01,¿Cómo se dividen los diez mandamientos?,"Tradicionalmente, los primeros mandamientos tratan de la relación con Dios y los restantes de la relación con el prójimo.",Éxodo 20:1-17
structure_02,¿Qué relación hay entre Éxodo 20 y Deuteronomio 5?,"Deuteronomio 5 repite los diez mandamientos con un énfasis contextual en la historia del pueblo, pero el contenido esencial coincide.",Deuteronomio 5:6-21; Éxodo 20:1-17
