texto,etiqueta
Mañana enviaré el informe final!,neutral
La reunión duró 30 minutos,neutral
Todo salió mejor de lo que esperaba.,positivo
El internet del hotel era lentísimo,negativo
"La verdad, El restaurante abre de lunes a viernes :)",neutral
Fue una pérdida de tiempo y dinero :),negativo
Demasiados errores en la última actualización,negativo
Odio cuando se demora tanto el envío.,negativo
"Es una experiencia normal, nada especial :)",neutral
El taller será virtual,neutral
La cola fue eterna y nadie ayudaba Pésima experiencia :),negativo
El restaurante abre de lunes a viernes!,neutral
"La verdad, El nuevo diseño está hermoso Excelente atención",positivo
"En serio, La cola fue eterna y nadie ayudaba",negativo
"En serio, Mis amigos quedaron felices con el servicio Volvería!",positivo
"En serio, Mala experiencia, no volveré Fatal",negativo
El restaurante tiene un ambiente acogedor,positivo
Excelente atención en el banco hoy,positivo
"La verdad, No cumplió con lo prometido Fatal",negativo
El paquete llegó tal como se indicó,neutral
La app se cuelga a cada rato,negativo
"En serio, No cumplió con lo prometido No lo recomiendo!",negativo
La pantalla del teléfono se quebró al día siguiente,negativo
La pantalla del teléfono se quebró al día siguiente,negativo
"En serio, Se habilitó el nuevo módulo",neutral
La música del evento estuvo increíble,positivo
"La verdad, No recomendaría este restaurante a nadie No lo recomiendo :)",negativo
"En serio, La reunión duró 30 minutos",neutral
"La verdad, Todo salió mejor de lo que esperaba Recomendado",positivo
"Mala experiencia, no volveré!",negativo
No recomendaría este restaurante a nadie,negativo
"En serio, Demasiados errores en la última actualización!",negativo
La reunión duró 30 minutos.,neutral
Todo salió mejor de lo que esperaba,positivo
"La verdad, Excelente atención en el banco hoy",positivo
"En serio, La comida llegó fría y sin sabor No lo recomiendo",negativo
El software se actualizó a la versión 2.0!,neutral
La app funciona perfecto en mi celular!,positivo
"La verdad, Me encantó la película, fue divertida",positivo
La atención al cliente fue grosera,negativo
"La verdad, El aula estaba muy desordenada Fatal",negativo
Excelente atención en el banco hoy,positivo
"Mala experiencia, no volveré :)",negativo
El paquete llegó tal como se indicó,neutral
Excelente atención en el banco hoy,positivo
La app requiere permisos de ubicación,neutral
El pago se procesó correctamente,neutral
"En serio, Muy buena relación calidad-precio!",positivo
La app se cuelga a cada rato No lo recomiendo.,negativo
La pantalla del teléfono se quebró al día siguiente,negativo
La clase comenzó a las 8 en punto,neutral
"En serio, Los precios son abusivos Pésima experiencia",negativo
"En serio, El sistema falla constantemente",negativo
"Me encantó la película, fue muy divertida",positivo
La ponencia fue clara y motivadora,positivo
"En serio, Mañana enviaré el informe final",neutral
"La verdad, Los precios son abusivos Fatal :)",negativo
Me registré en la plataforma ayer,neutral
La clase comenzó a las 8 en punto.,neutral
"En serio, El servicio fue terrible y el lugar sucio",negativo
Se habilitó el nuevo módulo :),neutral
"El curso estuvo excelente, aprendí bastante Recomendado",positivo
La app requiere permisos de ubicación!,neutral
La clase comenzó a las 8 en punto.,neutral
El servicio fue terrible y el lugar sucio,negativo
La vista desde el hotel fue espectacular Recomendado,positivo
"En serio, La película dura dos horas",neutral
"La verdad, Buen servicio al cliente, resolvieron mi problema Excelente atención",positivo
Hoy fue un día cualquiera,neutral
"La verdad, Muy buena relación calidad-precio",positivo
"En serio, Me encantó la película, fue divertida Recomendado",positivo
La app requiere permisos de ubicación :),neutral
El sistema falla constantemente :),negativo
Estoy esperando más información!,neutral
La vista desde el hotel fue espectacular :),positivo
El envío fue rápido y bien embalado Excelente atención,positivo
No cumplió con lo prometido :),negativo
Estoy esperando más información,neutral
"En serio, Los precios son abusivos Fatal",negativo
Se publicaron los resultados del examen,neutral
La clase comenzó a las 8 en punto :),neutral
El software se actualizó a la versión 2.0,neutral
El envío fue rápido y bien embalado,positivo
Todo salió mejor de lo que esperaba,positivo
Fue una pérdida de tiempo y dinero,negativo
"La verdad, El servicio fue terrible y el lugar sucio Pésima experiencia.",negativo
El curso tiene cuatro unidades,neutral
Odio cuando se demora tanto el envío,negativo
"En serio, La app funciona perfecto en mi celular",positivo
"La verdad, La película dura dos horas",neutral
Mis amigos quedaron felices con el servicio Volvería,positivo
"La verdad, La vista desde el hotel fue espectacular Recomendado",positivo
"En serio, La app funciona perfecto en mi celular",positivo
"La verdad, El taller será virtual :)",neutral
"La verdad, Todo salió mejor de lo que esperaba",positivo
La atención fue amable y rápida.,positivo
"Buen servicio al cliente, resolvieron mi problema",positivo
La atención fue amable y rápida,positivo
"En serio, Me encantó la película, fue divertida",positivo
"En serio, La app se cuelga a cada rato.",negativo
"En serio, El sistema falla constantemente",negativo
El curso estuvo mal organizado,negativo
"Recomiendo este libro, es inspirador Volvería",positivo
"En serio, El aula estaba muy desordenada Fatal",negativo
El archivo pesa 25 MB,neutral
El restaurante tiene un ambiente acogedor Volvería,positivo
La reunión duró 30 minutos :),neutral
"En serio, No cumplió con lo prometido Pésima experiencia",negativo
"El curso estuvo excelente, aprendí bastante",positivo
Las inscripciones cierran el viernes,neutral
Se publicaron los resultados del examen :),neutral
"La verdad, Odio cuando se demora tanto el envío Pésima experiencia",negativo
La vista desde el hotel fue espectacular,positivo
Estoy esperando más información.,neutral
"La verdad, La cola fue eterna y nadie ayudaba Pésima experiencia",negativo
Excelente atención en el banco hoy :),positivo
Me gustó mucho la clase de hoy,positivo
El envío fue rápido y bien embalado.,positivo
"La verdad, El aula estaba muy desordenada!",negativo
La cola fue eterna y nadie ayudaba,negativo
El documento tiene 10 páginas,neutral
"En serio, Demasiados errores en la última actualización :)",negativo
"En serio, La atención fue amable y rápida Recomendado",positivo
La música del evento estuvo increíble,positivo
"La verdad, El envío fue rápido y bien embalado Volvería",positivo
"En serio, Recomiendo este libro, es inspirador Volvería",positivo
Se publicaron los resultados del examen.,neutral
"En serio, Fue una pérdida de tiempo y dinero!",negativo
"En serio, La atención fue amable y rápida Excelente atención",positivo
Todo salió mejor de lo que esperaba.,positivo
La app funciona perfecto en mi celular Excelente atención,positivo
"La verdad, La interfaz es intuitiva y rápida Excelente atención",positivo
Me decepcionó el soporte técnico,negativo
"En serio, El internet del hotel era lentísimo",negativo
"En serio, El documento tiene 10 páginas :)",neutral
El pago se procesó correctamente,neutral
La atención al cliente fue grosera!,negativo
"En serio, El taller será virtual",neutral
La película dura dos horas,neutral
"La verdad, Recomiendo este libro, es inspirador",positivo
"La verdad, La atención fue amable y rápida Volvería",positivo
Me registré en la plataforma ayer!,neutral
El nuevo diseño está hermoso.,positivo
"La verdad, La interfaz es intuitiva y rápida Excelente atención",positivo
El documento tiene 10 páginas,neutral
Los precios son abusivos,negativo
"En serio, Es una experiencia normal, nada especial.",neutral
"La verdad, El restaurante tiene un ambiente acogedor Excelente atención",positivo
La atención al cliente fue grosera Pésima experiencia :),negativo
"En serio, El nuevo diseño está hermoso Volvería!",positivo
La música del evento estuvo increíble.,positivo
El documento tiene 10 páginas :),neutral
